domain,true,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,pred,score_phish
paypal.com.secure.com.reset.login.tradehouseglobal.com/online\%20password/resetinformation/,1,10000000,0,0,0,91,0,0,0,54,7,1,1.0
myweb.tiscali.co.uk/bobbarrow,0,15345,0,0,0,29,0,0,0,19,3,0,0.0
www.farbflash.de/cgi-bin/blosxom.cgi/,0,10000000,0,0,0,37,0,0,0,16,2,0,0.3327698273948276
www.springerlink.com/content/v8qtq27c84t8/,0,93593,0,1,6209,42,0,0,0,20,2,0,0.016666666666666666
www.gcompostela.org/templates/system/images/default.aspx.html,1,10000000,0,1,4383,61,0,0,0,19,2,1,1.0
www.geocities.co.jp/SiliconValley-PaloAlto/9251/ruby/nrb.html,0,2977,0,1,6969,61,0,0,0,19,3,0,0.26666666666666666
paypal.hentrerpp.com/,1,10000000,0,0,0,21,0,0,0,20,2,1,1.0
bidforlesserijr.info/ing.home.html/,1,10000000,0,0,0,35,0,0,0,20,1,1,1.0
paypalsecure.eu/~saasdde/konto/94136/index.php,1,10000000,0,0,0,46,0,0,0,15,1,1,1.0
us.battle.net.rr-wow.asia/login/en/?ref=us.battle.net/d3/en/index&app=com-d3,1,10000000,0,0,0,76,0,0,1,25,4,1,0.97
www.rcheligateway.com//wp-admin/js/bm/BMO12/BMO12/BMO12/BMO11/BMO11/bankofmontreal/montreal/bmo/index.htm,1,10000000,0,0,0,105,0,1,0,21,2,1,1.0
www.webcredible.co.uk/services/training.shtml,0,33940,0,0,0,45,0,0,0,21,3,0,0.0
tidbits.com/article/8909,0,128024,0,1,12054,24,0,0,0,11,1,0,0.006666666666666667
paypal.com.cgi.bin.href.dispath211512315123154849461dismos0cratos.mypsychometric.com/href/href/secure/center/update/limit/seccure/,1,10000000,0,1,730,130,0,0,0,84,7,1,1.0
wwwmathlabo.univ-poitiers.fr/~maavl/myprojects.html,0,62650,0,0,0,51,0,0,1,28,2,0,0.38
www.zero-g.co.uk/index.cfm?articleid=787,0,912109,0,0,0,40,0,0,1,16,3,0,0.44333333333333336
