domain,true,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,pred,score_phish
nukedstudent.com/ndk/index.html,1,10000000,0,0,0,31,0,0,0,16,1,1,0.9334627036261374
corisch.org/sess=77070/cgi-fyhp64l2xzg5enb/mcNdxDET6kzjw2e9q4xvlr/dt=20120716/sdr01/aGUtcmVubmF1QHQtb25saW5lLmRl,1,10000000,0,0,0,112,0,0,0,11,1,1,0.9937613559394295
www.proves-apllys.tk/login.asp?app=bam&ref=us.battle.net/account/management/index.xml,1,10000000,0,0,0,85,0,0,1,20,2,1,0.9815334365443887
www.alessandrodamelio.com/update/Signon.htm?section=signinpage&=&cookiecheck=yes&=nba/signin,1,10000000,0,1,4383,92,0,0,0,25,2,1,0.9685473951677415
suffsfurniture.com/tmp/reward/amexcoded/amexupdate/new/amex/,1,10000000,0,1,4748,60,0,0,0,18,1,1,0.9232538367820002
www.howtobuildmusclefast1.com/login.alibaba.com.htm,1,10000000,0,0,0,51,0,0,0,29,2,1,0.9769497506759565
bugshabbo.rel7.com/,1,10000000,0,1,731,19,0,0,0,18,2,1,0.7644116940441058
web.mit.edu/sgs/www/,0,1303,0,0,0,20,0,0,0,11,2,0,0.2940041373902159
www.edu.uni-klu.ac.at/~mkropfbe/kde.html,0,153423,0,0,0,40,0,0,1,21,4,0,0.20639461236920675
pastehtml.com/view/be67j9p0p.html,1,44061,0,1,4017,33,0,0,0,13,1,0,0.4859191459001908
www.paypal.ca.5074.secure2q.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=f9c5ed1ae0614b51a1e1e34296c6ae59,1,10000000,0,0,0,103,0,0,0,30,5,1,0.8761469115936219
www.young-sounds.com/sitemap.html,0,10000000,0,1,7305,33,0,0,1,20,2,0,0.384275623605025
centrocommercialeilporto.it/configurazione/paypal.co.uk/update/security/Id25564785266/,1,10000000,0,1,4748,86,0,0,0,27,1,1,0.9901284383182356
spreadsheets.google.com/spreadsheet/formResponse?formkey=dHF5elBkbHJRUzdLdFJRWUs4UHpGRHc6MQ&amp;ifq,1,1,0,1,11322,99,0,0,0,23,2,0,0.40487331069135635
www.wired.com/science/discoveries/news/1998/09/15112,0,801,0,1,10591,52,0,0,0,13,2,0,0.041207457902015264
www.sqlsummit.com/JDBCVend.htm,0,10000000,0,1,6939,30,0,0,0,17,2,0,0.28830970918054066
www.wired.com/science/discoveries/news/2001/11/48105,0,801,0,1,10591,52,0,0,0,13,2,0,0.041207457902015264
www.cartasi.go.ro/,1,130752,0,0,0,18,0,0,0,17,3,0,0.18665777572347636
thelocalroofingcompany.com/wp-includes/images/wlw/retail.santander.co.uk.php,1,10000000,0,0,0,76,0,0,0,26,1,1,0.996339749394562
math.nist.gov/~WMitchell/StopWatch.html/,0,14972,0,0,0,40,0,0,0,13,2,1,0.5335681820981324
trec.nist.gov/pubs/trec9/papers/unine9.pdf,0,14972,0,0,0,42,0,0,0,13,2,1,0.5523264810608022
www.members.tripod.com/vanylla/,0,1267,0,1,9496,31,0,0,0,22,3,0,0.024628407397028613
britih.com/_ch1/_wb/089176/,1,10000000,0,0,0,27,0,0,0,10,1,1,0.8495771582801535
creditagosgos.cabanova.fr/page2.html,1,733447,0,0,0,36,0,0,0,25,2,1,0.8299125612730066
www.invent.org/Hall_Of_Fame/180.html,0,581603,0,0,0,36,0,0,0,14,2,1,0.543962579459092
sac.tudofit.com.br/templates_c/Cielo/cielo/index.html,1,10000000,0,1,366,53,0,0,0,18,3,1,0.7870851792919323
www.xcprod.com/titan/,0,10000000,0,1,7670,21,0,0,0,14,2,0,0.12985946873898127
code.google.com/p/symbian-incubation-projects/,0,1,0,1,11322,46,0,0,0,15,2,0,0.03229122753365309
tools.ietf.org/html/rfc2636,0,14969,0,1,9133,27,0,0,0,14,2,0,0.032066887077094354
www.nd.gov/ndaero/airport/,0,30385,0,0,0,26,0,0,0,10,2,0,0.3159949191289562
www.informit.com/articles/article.asp?p=31473,0,19264,0,1,7670,45,0,0,0,16,2,0,0.12841677197959314
mobilevirtualbusiness.com/~amfaceli/webscr.php,1,10000000,0,1,366,46,0,0,0,25,1,1,0.9891874744471332
tech.groups.yahoo.com/group/euroforth/,0,4,0,1,10228,38,0,0,0,21,3,0,0.021449764144738186
tools.ietf.org/html/rfc3254,0,14969,0,1,9133,27,0,0,0,14,2,0,0.032066887077094354
www.vector.org.uk/?fetch=prodguid/index1.inc,0,10000000,0,0,0,44,0,0,0,17,3,1,0.661668217649156
dadabhaitravel.com/www.paypal.com/confirm.php?cmd=_account,1,10000000,0,1,6574,58,0,0,0,18,1,1,0.8474450002718279
www.kuro5hin.org/story/2001/5/30/22341/3757,0,63010,0,0,0,43,0,0,0,16,2,1,0.6531343480870926
77613paypal99497.techniicall.com/99837691417105364049?cmd=y596s5e6u5k64696g5b64605n5c6a696g56626i4i5c6c4h6q5,1,10000000,0,0,0,108,0,0,0,32,2,1,0.9981313828380733
www.orangegoogle.fr/orangegoogleresults.html?cx=010962177107388937589:rqai-6xojcc,1,10000000,0,0,0,81,0,0,0,19,2,1,0.9738228865065598
furnituravip.by/includes/classes/language/mastercard_promocoes/,1,10000000,0,0,0,63,0,0,0,15,1,1,0.9764385130179459
www.nwoods.com/go/jgo.htm,0,293054,0,1,9131,25,0,0,0,14,2,0,0.030783901855001225
www.freewebs.com/shinyshinyshoes/,0,5001,0,1,8035,33,0,0,0,16,2,0,0.07518439111757984
www.linabtechnologies.com/media/system/js/ff3fa7805be657383686e1b019b19d05/Einloggen.htm,1,10000000,0,1,3653,88,0,0,0,25,2,1,0.9722074902836908
www.lmmyb.com/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/indexapp=com-d3,1,10000000,0,1,366,81,0,0,0,13,2,1,0.9538125599887619
www.bertoldisrl.it/media/grafica/cards/Yahoo.php,1,10000000,0,1,5767,48,0,0,0,18,2,1,0.5867780152539996
www.stevefryatt.org.uk/software/,0,10000000,0,0,0,32,0,0,0,22,3,1,0.7004296640539066
craiggallivan.com/facte/c89110b7f3a78c4399ab3a68c2a602a9/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5,1,10000000,0,1,2922,156,0,0,0,17,1,1,0.9987543654926081
www.cs.queensu.ca/~cordy/,0,23494,0,0,0,25,0,0,0,17,3,0,0.227957662667828
people.scs.fsu.edu/~burkardt/f_src/f_src.html,0,13759,0,0,0,45,0,0,0,18,3,0,0.4161542303210928
medireimz.net/xy71scde/webscr_prim.php?bWVkaXJlaW16Lm5ldA==uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM1MDA5MDQ1Mg==,1,10000000,0,0,0,119,0,0,0,13,1,1,0.9962722576931322
lifestylzgh.com/.paypal---verification/new1/222f3ce8c73c2c6f2078707c0f74d22a/f96c6ff911f0f60e9596bb34a564956c/,1,10000000,0,1,1461,110,0,0,0,15,1,1,0.99479509165109
www.gozer.org/mozilla/ad_blocking/,0,10000000,0,0,0,34,0,0,0,13,2,1,0.7467005749621654
www.paypal.yvgg.com.au/de/cgi-bin/,1,10000000,0,0,0,34,0,0,0,22,4,0,0.4087399318313631
www.gnu.org/software/ddd/,0,6125,0,1,9861,25,0,0,0,11,2,0,0.015654368636006763
cjelfont.biz/zDcntrlde/_webscr.php?nxEXEC=d2Vic2NyX3ByaW0ucGhwP254RVhFQz1kMlZpYzJOeUxuQm9jRDlqYldSZlBXMWxiV0psY2k1MlpYSnBabms9&sdr01=YW5kcmVhc2hpbGwxOTY3QGFyY29yLmRl,1,10000000,0,0,0,165,0,0,0,12,1,1,0.9992544022374977
us.battle.net.ppus.asia/login/en/,1,10000000,0,0,0,33,0,0,0,23,4,0,0.4303225419862263
eu.diablo.net.mx.sm-login.in/login.html,1,10000000,0,0,0,39,0,0,1,28,5,0,0.3460426650454381
www.mejormercado.net/PP13/PP2013/webapps/mpp/home/index-new.php,1,10000000,0,0,0,63,0,0,0,20,2,1,0.9553142074252746
